author,date,comment
wishnhigh1,2002-03-27 20:42:56+00:00,never liked a lexus and probably never will i would rather drive the cts there is always something that irritates me about them i would buy the is as a toyota but not a lexusi personally think lexus should have a car in its lineup with this cheap of an interior and with this much sporting character toyota deserves something like it though also i dont think 215 horsepower for 29k is a lot of bang for the buck considering the g35 is the same price with 260 horsies
dave330i,2002-03-27 20:46:07+00:00,i would buy the is as a toyota but not a lexushow else are they going to get that extra 5k from you then reasonably equipped g35 goes for 33k or so
riez,2002-03-27 21:10:48+00:00,i couldnt have said it better myself ill let you lead services mbarto i most certainly will test a g35 manual if and when it finally comes out i promise automatics make nice luxury sedans and maybe even sporty luxury sedans but not performance sedans or luxury performance sedans i dont even consider the 540ia sport truly worthy though it is as close as one can get in an automatic if i could just get my wife to drive a manual
mbarto,2002-03-28 07:43:39+00:00,thanks riez let me know when you do im sure youll get a chance before i will since i wont return until december i am curious of how it compares to the bmws you can speak from experience so ill value your opinionit does make a difference being married lol see the latest discussions on the infiniti g35 vs bmw 330i board first im fortunate to have a wife that can drive a manual not that she prefers that her first choice is an automatic but she appreciates the hard work and sacrifice im doing out here and knows that this car is for me first family second of course it helps my cause when i let her buy a new dining room set last month and new living room drapes this month bribes do help whatever i finally decide im sure shell be happy
riez,2002-03-29 00:07:48+00:00,mbarto as regards the bribes issue youve figured out one of lifes great truism you get what you want so i can get what i want
cybersol,2002-04-05 22:34:11+00:00,so if someone were looking to purchase a new performance luxury sedan today what cars would they have to take a look at and test drive lets say they only had time to look at fivewhat five would they have to look into
riez,2002-04-06 00:16:48+00:00,since it has to have a manual transmission and should be rwd awd4wd adds too much weight and complexity and has to be fun to drive hard1 bmw 3 series manual2 lexus is300 manual3 cadillac cts manual4 lincoln ls6 manualif you want affordable and can go fwd then add nissan maxima 6speed with lsd and maybe altima 35se 5speedtry to get car with lsd inline 6s are magnificently smooth enginespossible future car infiniti g35 sedan when it finally gets the 6speed manual
coolguyky7,2002-04-07 15:22:48+00:00,the tl should be up for redesign in a few years so a tl would be outdated in the not so far future and besides it seems like everyone who drives an acura drives the tl i love the es300 some say it looks bloated i dont think it does at the 34 angle it looks impressive the interior is as nice as a car can get if i had the money i would buy an es300 in a heartbeat i never did like the past ones boring stylingespecially since the last two generations were nearly twins go with the es besides lexus quality is ahead of acuras
kdshapiro,2002-04-07 22:59:09+00:00,the new es is a very smart looking car notwithstanding any engine issues though i think there are direct price competitors like the i35 that offer better overall value on paper now i havent driven either new model i did drive the older es300 and it did its job very well they are both great cars lexus for legendary reliability and resale value infiniti for uptodate features
blueguydotcom,2002-04-08 22:32:10+00:00,umyou left off the infiniti g35 and its bland boring brother the i35 the es300s competition29k gets someone a 4 door 260 hp performance entry level luxury sedan with all sorts of goodies
jagboyxkr,2002-04-09 21:12:50+00:00,sorry i thought that i had already taken up too much space and i also was getting tired of typing when i check out an infiniti g35 maybe ill post something on iti always thought the i35s looked all right even if they arent the most exciting cars ever built
blueguydotcom,2002-04-09 21:43:42+00:00,go drive one theyre a blast and for the money theyre a steal if someone wants entry level performance luxury at a great price the gs really tough to beat save for bmw it sort of stands head and shoulders over most of its competition
steffie2jc,2002-04-11 22:06:02+00:00,i cant make a decision i was set on the mb c240 but then i read some postings from people who got lemons now i am starting to think that the audi 30 cvt front wheel drive is what i shoud get any advice low manintenance is what i am looking forthanks
merc1,2002-04-12 14:53:54+00:00,well im a benz fan first and foremost but the a4 30 cvt just offers more for the money the a4 has a better interior the top a4 engine compared to the c240 which is the base c and its styling is at least as good as the benz if not better both makes pay for scheduled maint during the warranty period neither car will be low maintanence after the warranty runs out especially the audi with its fairly different transmission if youre priced these cars and theyve come out equal go for the audi its the better value here m
popovs,2002-04-14 08:09:09+00:00,i think both are excellentsp cars however neither one is a low maintenance automobile that is to say neither brand is known for low maintenance what they do offer is luxury and performance in an aesthetically pleasing package and some would argue a superior ownership experienceas someone has said before every manifacturer makes lemons some more than others but the internet is not the best place to find information about that most people are just venting and are not representative of the owner community although i can not speak as to the driving merits of the cars i suspect that they are similar since ive heard read good things about both the a4 cvt and the c240 something to keep in mind is that anytime a new product is offered by the industry it usually takes a couple of years for the company to work out all the bugs in the technology both cars are relative newcommers to the market the facts that they are made by distinguished companies and use proven powerplants does not speak conclusively as to how reliable the cars will be as a wholesince you are already looking for alternatives to the mb because of reliability concerns it may be worth your time to look at other alternatives than the audi as someone has suggested in the help me choose forum try looking to lexus for the answer they seem to make reliable cars that are also cheap to keep running of course now we get into the issue of european vs asian luxury
popovs,2002-04-17 09:23:36+00:00,it has come to my attention that as of late mb has taken a hit in its reputation people have been quick to point at the recent survey results both european and domestic that say mercedes is no longer reliable these surveys show that statistically speaking mb has as much as doubled the amount of repairs that they do under warranty i wont deny these findings but i will try and justify them 1st and foremost mb has and is comming out with newer designs every year updating the cars both inside and out anytime that a new product makes its debue it takes a couple of tries to get all the kinks worked out secondly according to mbspycom mercedes accounted for half of the profits by dcx last year i think mb is being used as a cash cow to keep jeep and co affloat thereby driving mercedes to costcutting through corparate pressure lower quality parts equal lower overall car qualitythese two should get things going feel free to agree or disagree
mvargo1,2002-04-17 19:37:22+00:00,there is not much to debate on this subject if you want a reliable car you buy japanese if you want a drivers car you used to have to buy european the japanese just do quality better and more consistantly than anyone else you also get a lot more car for your money with a japanese vehicle there was a time when the europeans built the best driving cars in the world sadly for them those days are passing the japanese keep building cars that are closer and closer to european driving dynamics is and gs series lexuslexi and q45 and g35 infinitis while the europeans quality especially daimlerchrysler just is not keeping up
wishnhigh1,2002-04-17 20:11:09+00:00,gave up nationality based generalizations a couple of years ago
cybersol,2002-04-18 23:12:45+00:00,im interested more towards performance than luxury also value is an important component for me although i have the money to buy these cars i also have other fun things and places to spend it im looking to buy the car and keep it for around 710 years its very sunny with no snow here as well i also want an automatic or cvtgaspso right now the five i am going to look at more closely are as follows1 bmw 330i2 audi a4 30 cvt3 infiniti g354 acura tls5 nissan altima 35 sethe bmw represents the top of the class but it also has the highest price the altima represents the most performance oriented family car which is a cheaper class of cars the bmw and altima will bracket the value equation the other three all have the potential to compete for my dollarscars that are missing is300 too small while the styling of the cts s60 t5 and 95 aero are not for me the es300 and i35 dont have enough performance for me everything more expensive than a comparibly equipped 330i was also excludedwhat do you guys think anything missingthankscybersol
riez,2002-04-18 23:50:07+00:00,cybersol i cant fathom why you would want to go with slushbox but that is your losscomparing fwd to rwd is like apples to orangesnot sure what sort of real price range you are looking at the 330i with options might push 40000 you might really consider the much less expensive 325i an altima 35se with few options might have a 25000 msrpread motor trends review of i35 theirs had more than enough performance 060 mph in 70 seconds fastest in their comparison test and it can be had with a sport package but you might be better off with a loaded maxima se or gle saving thousands off the i35you might also consider volkwagen passat that can also be had with awd if you like awd the jag xtype should be on your listfrom the domestic corner you might also consider a lincoln ls 6 or 8 or chrysler 300msurprised your list excludes the mercedesbenz cclass and if you can live with a fwd automatic a loaded camry or accord v6 or avalon might be acceptable near the altimas price range
cybersol,2002-04-19 01:07:38+00:00,sorry to disappoint with the slushbox but if we were all the same life would be boring and there would only be 1 car type i would prefer rwd but the best fwds torque sensitive steering are getting close enough to bring the acceptable price premium for rwd down price range is 2540k as you mentionpassat 300m 325i are too slow for me the c classes are either too slow or more expensive than the bmw i would choose the bmw over the xtype as they are similarly priced and i live in sun countrythe maxima better value than the i35 is a good suggestion and i am considering that equally with the altima at the lower endmy wife loves camrys but im looking for excitement slushbox or notthankscybersol
kdshapiro,2002-04-19 02:14:32+00:00,the new altima is great as my friends just bought one however dollar for dollar i think the maxima is the overall winner for a fwd car if you can live without the amenities of the i35 the gle with leather sunroof bose cant be beat ive owned two maximas me i recently made the jump to the 330i and its been worth every penny however the g35 owners are very passionate about their choices for a couple of dollars more than the maxima hovering around the i35 i guess the tls cant be beat eitheri understand when it comes down to it you pick what you think has the right combination of value performance luxury and the right type of car for you for every person it is different when i got the bmw i was crossshopping suvs minivans and fwd passenger cars to see what struck my fancy and i was ready to get an explorer
riez,2002-04-19 02:18:43+00:00,cybersol excitement and slushbox dont seem to be compatible i cant get too excited about fwders certainly not a slushbox fwdernot sure what you mean about the best fwders torque sensitive steeringvery powerful fwders tend to suffer from severe torque steering use of equal length halfshafts and limited slip differential can help but not completely eliminate the laws of physics remain when the drive wheels and steering wheels are one and the same and you have a powerful motor youll get some torque steeringdo you have kids plan to in near future if not have you considered any coupes or convertibles they can be a bit more exciting
dave330i,2002-04-19 15:28:10+00:00,excitement and slushbox dont seem to be compatibleagreed unfortunately most american drivers dont seem to get it they care about silly stuff like 060 14 mile hp torque numbers but choose to miss out on the fun part of driving
cybersol,2002-04-20 08:18:34+00:00,riez you have heard of speed sensitive steering this varies the power steering boost as with the speed acura claims to have torque sensitive power steering on the tls not the tl though this would supposedly vary the power steering boost with the torque being applied and that in theory could eliminate a large amount of torque steer found in powerful fwd cars it still doesnt eliminate the fwd tendency to under steer due the the drive wheels being the same as the turning wheels
riez,2002-04-20 16:49:18+00:00,cybersol there are two types those tied to engine output and those tied to road speed i have heard that the latter are superior since you can vary engine speeds rpms a lot depending upon gear being used and speed even while driving relative steady speeds better systems vary boost on road speed since you normally need more assist at low speeds regardless of engine rpmshere is all that the lengthy fullcolor tl brochure says steering variable powerassist rackandpinion this is off the tech specs on page 30 i cannot find a single mention of the steering system anywhere else in the brochure so if acura thinks its variable assist power steering system is special they are keeping it a secret this large brochure covers both the tl and tl type s
cybersol,2002-04-21 07:36:56+00:00,yeah i have that brouchure and they dont mention the difference between the tl and tls though they say both have variable power assist they do not say how it varies but on the acura website tl specifications bodysuspensionchassis it sayssteering type tl type s torquesensitive variable powerassisted rackandpinion steering 32tl speedsensitive variable powerassisted rackandpinion steeringheres the link if you want to check it outhttpwwwacuracommodeltltlspecresultsasphard to find but not a secret
riez,2002-04-21 13:50:04+00:00,cybersol from what ive read the better variable power assist system is tied to road speed not engine rpms once you get a car up to 25 mph or more there isnt much need for assist even if your rpms decline due to turning or downshifting and certainly once you hit 45 mph or more there isnt much need for assist no matter what happens to your rpmsbut keep in mind that torque steering isnt due to the steering system it is due to other factors can be very pronounced in powerful fwders corrective actions include limited slip differentials and equal halfshafts need to provide equal power simultaneously to drive wheelsfrom standing start floor your car see if the wheel pulls in one direction youll have to correct with the steering wheel to keep the car straight but by then youll have already encountered the torque steering you can also notice it if you are aggressively accelerating in a curve wheels pull you out of your intended direction and you have to correct
beartrax79,2002-04-24 14:51:56+00:00,so if you read through most of this group alot of references went out to audi give a guy a hand here and compare an audi a4 30 to an audi s4 i see a difference of about 5k 30hp and a sporty suspension why shouldnt i load up a 30 rather than going after the s4oh and does anyone know on possible improvements for one or the other for 2003
cybersol,2002-04-25 00:15:19+00:00,have you driven them both the s4 really moves even by audis own 060 times the s4 manual is 1 second faster and the s4 tiptronic is 12 seconds faster yet the s4 is currently based on the 2001 a4 platform and it is scheduled to be upgraded to the new platform in the 2003 model year expect the performance difference to increase as the indications are that the new s4 will pack 300 or more hphope this helps
beartrax79,2002-04-25 19:36:23+00:00,ive tested the 30 not the s4 hmmm new s4 in 03 huh maybe i should just wait what do you think cybersol right now th3 current s4 states 250hp yes
cybersol,2002-04-26 16:50:21+00:00,yeah the current s4 has 250 hp and 258 lbft of torque the torque is fully online by 1850 rpm so this is why it scoots the new s4 should be really nice if you have the time to wait it might be worth seeing it might move up in price a little if the performance gets closer to the bmw m3 but then the old s4s should be easier to pick up at a good price right as the new ones are coming out so many decisionshave fun making the right one for you
1pierce,2002-04-27 21:37:46+00:00,not so fast there is merit to the nationality based debate let me explain to you why japanese cars have higher quality in terms of reliability than american or european cars the reason is culturalamericans have always had an adventurous entrepreneurial spirit we take chances its not in our nature to accept things as they are i think this is somewhat genetic since the vast number of us are descended from immigrants arent we all really people who took tremendous risk and had great courage to brave the unknown for the promise of a new and better life as such in areas of design we bore very easily americans are always looking for the next great thing the next new design the next technology breakthrough europeans especially germans are like this about cars if not about everything else the us auto industry is always ready to chuck the old and start over from scratch witness chrysler and ford over the last two decades as such our products are usually stylish and inventive but not very refined see minivans suvs cabforward nightvision etcthe japanese by comparison have a culture that is traditional and thousands of years old they have made an entire culture out of honoring tradition and the status quo we had to yank them kicking and screaming into the 20th century after world war ii i know this is somewhat simplistic but bear with me what the japanese are good at is taking an idea and refining it year after year until it is near perfect there is very little innovation or risk taking that is why the cars are so bland when was the last time you saw a new technology invented in japan vcrs computer technology cell phones the microwave ovenall american inventions that are better built by the japanese the same goes for cars most innovations come from the us or germany with some safety innovations coming from scandinavia give up the turbos and 5cylinders already those are as refined as theyre going to getanywaywhen you distill it down to its essence this is why toyotas and hondas never break its also why they are no more than transportation appliances and this is why the best performance cars from japan will always be knockoffs albeit sometimes very good ones of something somebody else does better and more originallyill step off my soap box now and await your wailing
wishnhigh1,2002-04-27 21:54:41+00:00,the problem is that they are huge generalizations also you are talking japanese as almost exclusivly honda and toyota what about subaru mazda isuzu mitsubishi daihatsu and suzuki so far the only makes that seem to keep with that japanese culture are toyota and honda and many american and european makes are now capable of having higher quality than more than 70 of japanese cars doesnt help your generalization that much does itso where do the generalizations stop they should stop with brands and not nations
kd6aw1,2002-04-28 02:38:11+00:00,have found out that with some of the more powerful cars like the g35 or corvette the difference in performance from a practical standpoint isnt really an issue because these cars are faster than we can ever dream of driving without either killing ourselves or getting tickets all the time i have an automatic g35 and love it being that it is an automatic i can enjoy my coffee shave talk on my cel phone and hug my wife while driving in rush hour traffic if i feel the urge which i dont very often i can shift the manumatic and pretend it is a stick when i get my ferrari it will have the paddle shifting because i dont ever want another clutch just my opinionpaulel cajon california
fwatson,2002-04-28 10:11:24+00:00,how does your theory explain english cars a country steeped in tradition producing poor quality cars with little inovation look what a traditionalist country managed to do to the acura legend when they produced it as a stirling lol quote wishnhigh1 what about subaru mazda isuzu mitsubishi daihatsu and suzuki so far the only makes that seem to keep with that japanese culture are toyota and honda those cars in general reflect the perfectionist attitude of 1pierces post with virtually no exception the overall quality of japanese brand cars especially fit and finish considerably excels the american brands from what i have read this is due to the attitude of japanese management in not accepting mediocre craftsmanship not the abilities of the assembly line workers you may have a point though that some of the japanese brands show as high a level of innovation as the american and german brands after all which country has used the wankle rotary and miller cycle engines and who introduced us to the vtec engines etcamerican management leans strongly to the bottom line and ceo bonuses with refinement and polish falling by the wayside as a casuality of the heavy handed management style
dave330i,2002-04-29 14:59:55+00:00,being that it is an automatic i can enjoy my coffee shave talk on my cel phone and hug my wife while driving in rush hour traffictruly critical things to do while ones driving
blueguydotcom,2002-04-29 17:12:14+00:00,he did mention in rush hour traffic like theres anything else to do in bumpertobumper not like rush hour demands anything of the driver ive read books while in traffic let out clutch apply gas push in clutch glide repeat snooze
fredvh,2002-05-03 14:11:27+00:00,edmunds has a new feature called true cost to own it is listed when one researches out the various vehicles on the new car heading it is one of the 13 subjects when you click on a particular vehicle it is very useful when comparing one vehicle to another true cost to own takes the purchase price and adds things like depreciation insurance license fees etc and gives you a figure for 5yr ownership they even tailor it to your particular zip code i tried it on a few vehicles and it is very useful
cybersol,2002-05-23 17:02:29+00:00,i have not had a chance to look at it in person but does the 38k passat w8 fit into the entry level performance luxury sedan category any other upcoming next year or so vehicles fit into this category
blueguydotcom,2002-05-23 17:18:10+00:00,but its not really a performance sedan drive one and then take on a bimmer or g35 night and day vws are nice inside and good for cruising but their handlings akin to riding a pig in a hurry
rayainsw,2002-05-28 14:50:59+00:00,i beg to differwhile i admit that i am biased obviously since i bought one i believe that the w8 is really a performance sedani test drove the g35 and several bmws and a few others before making my final choice i suppose the term 145performance sedan146 could be defined in any number of ways for me the w8 offers everything i want 150 and nothing i don146tisn146t that a recent nissan 145tag line146take straight line acceleration for instance vw literature quotes 0 150 60 in 65 sec to me this is pretty quick for a 4 door sedan my fearless prediction of future test acceleration numbers is 0 150 60 in 65 sec as vw claims and a quarter mile in about 150 at 94 95 i base this on a number of things for instance in the may 2000 car and driver comparison that included the lincoln ls8 sport and the audi a6 27tt the audi tested had virtually identical curb weight as the w8 identical final drive wheel tire size and tiptronic the hp tq for this audi were 250 258 and their test results were 0 150 60 in 66 sec and the quarter mile in 151 at 94 thus my w8 with 270 273 ought to do slightly better we146ll see btw in the same test the lincoln ls8 sport they tested turned in acceleration numbers of 0 150 60 in 75 and the quarter mile in 157 at 90 this was my previous car so it seems reasonable that my w8 feels quicker 150 setting aside the notorious unreliability of everyone146s 145butt dyno146does it pull the same lateral g as the g35 or a bmw 3 series wsport package almost certainly no but with more aggressive rubber i expect that it will provide enough grip for entertainment value at any sane public road speed just my opinionscheers rayoff shortly to put on a few more 145breakin146 miles at lunch
cmnott,2002-06-04 19:13:47+00:00,i recently went through the list of entry level carsi was in test drive heaven325i very nice car best shifterclutch of all but not enough power for me great motor though as fas as smoothness the interior is average nothing better with leather and wood it helps but you either dig it or you dont330i same as above but better power although i find the power to be linear you can really move in this car but the sensation of thrust is lacking i like that sunroof and leather are std better value overall than 325i plus std 17 wheels although with allseasons pricyis300 nice manual tranny and smooth motor thats about it hate the interior feels claustrophobic and chintzy xtype i liked the 30l sport but did not like the grey stained maple didnt look like a jag very nearly purchased a 30l british racing green with ivory leather and beautiful walnut but with options this car is riciulously overpriced makes the bmw look like a bargain hunter too bad nice motor and very good manual tranny and ride brakes were strong one thing about the motor was it just didnt feel or go like 060 65 as advertised nicest interior overalla4 30 porky ponderous even with sport package did not feel swift and easily the worst tranny available in this segment nice interior leather was only average you could barely tell the difference between the leather and leatherette which is a good thing if you are cheap but bad if you opt for leather by the way the leather in the bmw was much betters4 2001 nice but not as fast as i thought it would be i did drive a 99 mustang gt it rockets off the line but it isnt that impressive afterwards nicer seats and support but interior is too gloomy 250bhp and 258 lb ft motor is not an audible delight the 2002 a4 30 sounds amazing compared to the s4 i think the backpressure has gobbled up the exhaust note an exhaust would be perfect here they were giving them away 9000 off msrp and people were definitely buying but it just looked dated now beside the new onesg35 went and looked at one in showroom and was not impressed and without a manual tranny i wasnt interested one bit i still managed to drive one and was impressed with the torque it definitely had thrust that the others lacked except the s4 nice seats and neat touches for rear passengers i really liked the dynamics of the car but the tranny left me cold the fit and finish was poor maybe it was an early modelno dicker sticker which made it cost as much as the a4 30 and bmw 330i was closelincoln ls v6 very good handling and crisp 5 speed engine was thrashy at high revs which is particularly bad because it needs to be revved to really move torque is lacking here but i liked the car overall especially with the sport suspacura tls another auto tranny but an incredible motor definitely my favourite v6 of all of them as far as sound is concerned interior average and handling soso excellent pricevolvo s60 t5 i chose this car for its thrust come to think of it 3bhp less and 15 lbft less than the s4 is quite close to the s4 and it is lighter fwd torque steer is evident only beyond 810ths but it is there no question about it best seats best stereo average steering feel falls behind the jaguar and bmw brakes while strong are grabby but it takes getting used to amazing power and style seems decent off the line but after 100kmh it easily pulls the hardest price was also a consideration as it was cheaper than bmw audi jaguar didnt drive the cts but i am sure it is excellent in conclusion these are all excellent cars and even though we all nitpick this and that on all of them i would be fine with any of them in my driveway honestly
blueguydotcom,2002-06-04 21:27:05+00:00,i had the grave misfortune to drive a cts and its not in the same league as the bimmer audi infiniti or even the lesser acuralexusjag the cts i drove was a 5 speed sport model with a sticker of 38k gasp the tranny was rough very rough almost mustang bad the interior felt cheap with lots of hard plastic and very little in the way of substantial or softtouch materials the throttle response was weak and required excessive modulation of a rather awkward gas pedal the cars a rolling bed of 1998 technology no automatic brake distribution for one thing the salesmen kept insisting 4 channel abs is impressiveto each his own handling nothing at all like the claims car mags are making it was a slow reacting boatturn the wheels feel the car undulate and then slowly shift directions not impressive in the least in fact when the salesguy asked me what i thought after the drive i told him the cts wasnt even a real competitor to the germans or japanese he snorted and reminded me this is a caddy not a sports car yeah well that caddy can sit on the lot with the other heaps they have
jagboyxkr,2002-06-05 00:20:39+00:00,congradulations on your new s60 t5 it is a great looking car and i hope you are very happy with it i saw a really nice one in front of me this morning have fun with it
